frame,left_x,left_y,right_x,right_y
0,0,0,0,0
1,518,801,486,814
2,689,1065,646,1083
3,860,1330,806,1352
4,1031,1594,967,1621
5,1202,1859,1127,1890
6,1374,2123,1288,2159
7,565,696,539,683
8,599,683,515,668
9,611,675,506,661
10,652,669,494,654
11,655,664,512,642
12,661,658,506,633
13,681,661,513,632
14,569,633,541,612
15,504,568,596,621
16,511,555,629,581
17,512,553,645,594
18,515,557,658,573
19,508,548,678,565
20,621,625,800,596
21,762,627,751,613
22,808,635,772,617
23,855,643,794,621
24,901,651,816,624
25,904,561,828,582
26,925,575,872,581
27,946,582,874,583
28,887,582,953,593
29,884,589,937,585
30,854,581,973,596
31,852,580,999,597
32,985,611,1018,608
33,1013,617,991,604
34,1015,613,932,569
35,1015,594,925,564
36,1011,589,903,558
37,995,588,889,555
38,985,591,822,560
39,981,600,831,564
40,973,598,806,583
41,933,560,831,577
42,922,551,823,578
43,911,542,815,579
44,899,533,807,581
45,767,585,706,577
46,753,602,645,589
47,755,614,611,608
48,652,630,699,615
49,610,639,696,622
50,712,610,623,642
51,702,611,604,651
52,692,611,585,661
53,682,612,567,671
54,673,612,548,680
55,663,613,529,690
56,653,613,510,700
57,644,614,492,709
58,634,614,473,719
59,624,615,454,728
60,614,615,436,738
61,605,616,417,748
62,595,616,398,757
63,585,617,380,767
64,576,617,361,777
65,566,618,342,786
66,556,618,324,796
67,546,619,305,805
68,537,619,286,815
69,527,619,268,825
70,517,620,249,834
71,508,620,230,844
72,498,621,211,854
73,488,621,193,863
74,412,668,428,696
75,398,671,422,697
76,385,674,417,697
77,372,677,412,697
78,359,680,407,697
79,345,683,401,698
80,549,21,568,-12
81,567,-71,587,-115
82,585,-165,607,-217
83,603,-259,626,-320
84,622,-352,646,-423
85,640,-446,666,-526
